Gmt time,Open,High,Low,Close,Volume
09.11.2020 00:00:00.000,1.54865,1.54878,1.54854,1.54854,97.17
09.11.2020 00:01:00.000,1.54854,1.54861,1.54837,1.54841,137.8
09.11.2020 00:02:00.000,1.54842,1.54864,1.54836,1.54852,90.6
09.11.2020 00:03:00.000,1.54852,1.54859,1.54843,1.54843,62.12
09.11.2020 00:04:00.000,1.54846,1.54855,1.54834,1.54849,126.12
09.11.2020 00:05:00.000,1.54849,1.54855,1.54838,1.54852,114.31
09.11.2020 00:06:00.000,1.54853,1.54865,1.54842,1.54842,98.85
09.11.2020 00:07:00.000,1.54842,1.54861,1.54838,1.54856,131.81
09.11.2020 00:08:00.000,1.54854,1.54866,1.54835,1.54847,177.83
09.11.2020 00:09:00.000,1.54847,1.54847,1.54826,1.54836,138.35
09.11.2020 00:10:00.000,1.54837,1.54856,1.54795,1.54839,251.52
09.11.2020 00:11:00.000,1.54843,1.54873,1.54835,1.54858,214.04
09.11.2020 00:12:00.000,1.54858,1.54860,1.54839,1.54853,143.73
09.11.2020 00:13:00.000,1.54852,1.54865,1.54847,1.54855,141.36
09.11.2020 00:14:00.000,1.54857,1.54864,1.54855,1.54857,71.41
09.11.2020 00:15:00.000,1.54857,1.54866,1.54843,1.54851,131.11
09.11.2020 00:16:00.000,1.54851,1.54856,1.54839,1.54847,149.27
09.11.2020 00:17:00.000,1.54849,1.54851,1.54834,1.54849,132.29
09.11.2020 00:18:00.000,1.54848,1.54863,1.54839,1.54857,78.57
09.11.2020 00:19:00.000,1.54857,1.54870,1.54857,1.54865,114.42
09.11.2020 00:20:00.000,1.54865,1.54865,1.54836,1.54839,52.17
09.11.2020 00:21:00.000,1.54838,1.54838,1.54823,1.54831,95.9
09.11.2020 00:22:00.000,1.54826,1.54845,1.54826,1.54845,57.5
09.11.2020 00:23:00.000,1.54845,1.54875,1.54845,1.54868,96.24
09.11.2020 00:24:00.000,1.54868,1.54868,1.54849,1.54859,66.97
09.11.2020 00:25:00.000,1.54858,1.54863,1.54848,1.54849,73.79
09.11.2020 00:26:00.000,1.54849,1.54855,1.54840,1.54844,76.3
09.11.2020 00:27:00.000,1.54843,1.54851,1.54840,1.54845,53.6
09.11.2020 00:28:00.000,1.54847,1.54848,1.54834,1.54838,68.4
09.11.2020 00:29:00.000,1.54840,1.54844,1.54831,1.54840,67.2
09.11.2020 00:30:00.000,1.54839,1.54852,1.54824,1.54851,167.45
09.11.2020 00:31:00.000,1.54850,1.54862,1.54846,1.54854,89.94
09.11.2020 00:32:00.000,1.54852,1.54855,1.54846,1.54851,36.62
09.11.2020 00:33:00.000,1.54850,1.54865,1.54848,1.54852,70.41
09.11.2020 00:34:00.000,1.54850,1.54850,1.54837,1.54841,65.55
09.11.2020 00:35:00.000,1.54842,1.54848,1.54830,1.54837,86.31
09.11.2020 00:36:00.000,1.54838,1.54838,1.54806,1.54814,150.97
